"No.","Time","Source","Destination","Protocol","Length","Info"
"93","155.419079162","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 54108  >  110 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128"
"94","155.432058049","10.0.2.5","10.0.2.15","TCP","74","139  >  34154 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=725401 TSecr=2552757155 WS=64"
"95","155.432058140","10.0.2.5","10.0.2.15","TCP","60","110  >  54108 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"96","155.432405601","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 54708  >  1720 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128"
"97","155.432661099","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 42812  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128"
"98","155.432809577","10.0.2.5","10.0.2.15","TCP","60","1720  >  54708 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"99","155.432809668","10.0.2.5","10.0.2.15","TCP","60","443  >  42812 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"100","155.432861495","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 54196  >  587 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128"
"101","155.433009692","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 38906  >  25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128"
"102","155.433124445","10.0.2.5","10.0.2.15","TCP","60","587  >  54196 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"103","155.433207050","10.0.2.5","10.0.2.15","TCP","74","25  >  38906 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=725402 TSecr=2552757156 WS=64"
"104","155.433317376","10.0.2.5","10.0.2.15","TCP","54","1723  >  48478 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"105","155.433501100","10.0.2.5","10.0.2.15","TCP","54","993  >  49904 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"106","155.433627948","10.0.2.5","10.0.2.15","TCP","54","8080  >  54368 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"107","155.433755717","10.0.2.5","10.0.2.15","TCP","54","554  >  58140 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"108","155.433946455","10.0.2.5","10.0.2.15","TCP","74","[TCP Out-Of-Order] 139  >  34154 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=725401 TSecr=2552757155 WS=64"
"109","155.433989716","10.0.2.5","10.0.2.15","TCP","54","110  >  54108 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"110","155.434050790","10.0.2.15","10.0.2.5","TCP","74","58338  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128"
"111","155.434050870","10.0.2.15","10.0.2.5","TCP","74","45564  >  143 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128"
"112","155.434142943","10.0.2.15","10.0.2.5","TCP","66","34154  >  139 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2552757175 TSecr=725401"
"113","155.434143003","10.0.2.15","10.0.2.5","TCP","74","36642  >  256 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128"
"114","155.434224706","10.0.2.15","10.0.2.5","TCP","74","40556  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128"
"115","155.434268989","10.0.2.15","10.0.2.5","TCP","74","55082  >  199 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128"
"116","155.434306569","10.0.2.15","10.0.2.5","TCP","74","57342  >  22 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128"
"117","155.434306629","10.0.2.15","10.0.2.5","TCP","74","40428  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128"
"118","155.434418679","10.0.2.15","10.0.2.5","TCP","74","46496  >  113 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128"
"119","155.434496535","10.0.2.15","10.0.2.5","TCP","66","34154  >  139 [RST, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2552757176 TSecr=725401"
"120","155.434588618","10.0.2.15","10.0.2.5","TCP","74","32980  >  5900 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757176 TSecr=0 WS=128"
"121","155.434651696","10.0.2.15","10.0.2.5","TCP","74","46094  >  135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757176 TSecr=0 WS=128"
"122","155.434719172","10.0.2.15","10.0.2.5","TCP","74","54028  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757176 TSecr=0 WS=128"
"123","155.434795285","10.0.2.15","10.0.2.5","TCP","74","44320  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757176 TSecr=0 WS=128"
"124","155.437930178","10.0.2.5","10.0.2.15","TCP","54","1720  >  54708 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"125","155.438052437","10.0.2.5","10.0.2.15","TCP","54","443  >  42812 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"126","155.438177561","10.0.2.5","10.0.2.15","TCP","54","587  >  54196 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"127","155.438305140","10.0.2.5","10.0.2.15","TCP","74","[TCP Retransmission] 25  >  38906 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=725402 TSecr=2552757156 WS=64"
"128","155.438389288","10.0.2.15","10.0.2.5","TCP","74","34908  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757179 TSecr=0 WS=128"
"129","155.438389368","10.0.2.15","10.0.2.5","TCP","74","45950  >  111 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757179 TSecr=0 WS=128"
"130","155.438508681","10.0.2.15","10.0.2.5","TCP","66","38906  >  25 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2552757180 TSecr=725402"
"131","155.438508751","10.0.2.15","10.0.2.5","TCP","74","60174  >  995 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757180 TSecr=0 WS=128"
"132","155.438579404","10.0.2.15","10.0.2.5","TCP","74","42618  >  1025 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757180 TSecr=0 WS=128"
"133","155.438579464","10.0.2.15","10.0.2.5","TCP","74","36906  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757180 TSecr=0 WS=128"
"134","155.438655456","10.0.2.15","10.0.2.5","TCP","74","37796  >  23 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757180 TSecr=0 WS=128"
"135","155.438689019","10.0.2.15","10.0.2.5","TCP","66","38906  >  25 [RST, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2552757180 TSecr=725402"
"136","155.438818211","10.0.2.15","10.0.2.5","TCP","74","52250  >  1277 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757180 TSecr=0 WS=128"
"137","155.438818291","10.0.2.15","10.0.2.5","TCP","74","56932  >  2875 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757180 TSecr=0 WS=128"
"138","155.438984443","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 58338  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128"
"139","155.439049104","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 45564  >  143 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128"
"140","155.439204876","10.0.2.15","10.0.2.5","TCP","66","[TCP Dup ACK 112#1] 34154  >  139 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2552757175 TSecr=725401"
"141","155.439256693","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 36642  >  256 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128"
"142","155.439412364","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 40556  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128"
"143","155.439561985","10.0.2.5","10.0.2.15","TCP","74","21  >  58338 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=725403 TSecr=2552757175 WS=64"
"144","155.439562175","10.0.2.5","10.0.2.15","TCP","60","143  >  45564 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"145","155.439682631","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 55082  >  199 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128"
"146","155.439758352","10.0.2.5","10.0.2.15","TCP","60","256  >  36642 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"147","155.439758443","10.0.2.5","10.0.2.15","TCP","74","445  >  40556 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=725403 TSecr=2552757175 WS=64"
"148","155.439846698","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 57342  >  22 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128"
"149","155.439941225","10.0.2.5","10.0.2.15","TCP","60","199  >  55082 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"150","155.440004504","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 40428  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128"
"151","155.440119048","10.0.2.5","10.0.2.15","TCP","74","22  >  57342 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=725403 TSecr=2552757175 WS=64"
"152","155.440158562","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 46496  >  113 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128"
"153","155.440264140","10.0.2.5","10.0.2.15","TCP","60","3389  >  40428 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"154","155.440359549","10.0.2.5","10.0.2.15","TCP","60","113  >  46496 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"155","155.440374797","10.0.2.15","10.0.2.5","TCP","66","34154  >  139 [RST, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2552757176 TSecr=725401"
"156","155.440529958","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 32980  >  5900 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757176 TSecr=0 WS=128"
"157","155.440672765","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 46094  >  135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757176 TSecr=0 WS=128"
"158","155.440785126","10.0.2.5","10.0.2.15","TCP","74","5900  >  32980 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=725403 TSecr=2552757176 WS=64"
"159","155.440864044","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 54028  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757176 TSecr=0 WS=128"
"160","155.440936900","10.0.2.5","10.0.2.15","TCP","60","135  >  46094 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"161","155.441029985","10.0.2.15","10.0.2.5","TCP","74","[TCP Retransmission] 44320  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757176 TSecr=0 WS=128"
"162","155.441122578","10.0.2.5","10.0.2.15","TCP","60","8888  >  54028 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
