No.;Time;Source;Destination;Protocol;Length;Info
11258;52.547.661.942;10.0.2.5;10.0.2.4;SMB2;318;Negotiate Protocol Response
11259;52.547.710.299;10.0.2.4;10.0.2.5;TCP;66;37090  >  445 [ACK] Seq=176 Ack=253 Win=64128 Len=0 TSval=71733675 TSecr=206443
11260;52.581.539.125;10.0.2.4;10.0.2.5;SMB2;252;Negotiate Protocol Request
11261;52.582.689.610;10.0.2.5;10.0.2.4;SMB2;318;Negotiate Protocol Response
11262;52.582.741.023;10.0.2.4;10.0.2.5;TCP;66;37090  >  445 [ACK] Seq=362 Ack=505 Win=64128 Len=0 TSval=71733710 TSecr=206447
11263;52.618.027.208;10.0.2.4;10.0.2.5;SMB2;232;Session Setup Request, NTLMSSP_NEGOTIATE
11264;52.618.646.176;10.0.2.5;10.0.2.4;SMB2;397;Session Setup Response, Error: STATUS_MORE_PROCESSING_REQUIRED, NTLMSSP_CHALLENGE
11265;52.618.687.834;10.0.2.4;10.0.2.5;TCP;66;37090  >  445 [ACK] Seq=528 Ack=836 Win=64128 Len=0 TSval=71733746 TSecr=206451
11266;52.631.957.597;10.0.2.4;10.0.2.5;SMB2;239;Session Setup Request, NTLMSSP_AUTH, User: \\[Malformed Packet]
11267;52.633.225.135;10.0.2.5;10.0.2.4;SMB2;151;Session Setup Response
11268;52.633.266.231;10.0.2.4;10.0.2.5;TCP;66;37090  >  445 [ACK] Seq=701 Ack=921 Win=64128 Len=0 TSval=71733761 TSecr=206452
11269;52.643.904.453;10.0.2.4;10.0.2.5;SMB2;168;Tree Connect Request Tree: \\\\HETEAM\\IPC$
11270;52.644.377.644;10.0.2.5;10.0.2.4;SMB2;150;Tree Connect Response
11271;52.644.404.857;10.0.2.4;10.0.2.5;TCP;66;37090  >  445 [ACK] Seq=803 Ack=1005 Win=64128 Len=0 TSval=71733772 TSecr=206453
11272;52.655.982.046;10.0.2.4;10.0.2.5;SMB2;204;Create Request File: spoolss
11273;52.656.674.935;10.0.2.5;10.0.2.4;SMB2;143;Create Response, Error: STATUS_ACCESS_DENIED
11274;52.656.705.827;10.0.2.4;10.0.2.5;TCP;66;37090  >  445 [ACK] Seq=941 Ack=1082 Win=64128 Len=0 TSval=71733784 TSecr=206454
11275;52.667.850.448;10.0.2.4;10.0.2.5;SMB2;138;Tree Disconnect Request
11276;52.668.329.305;10.0.2.5;10.0.2.4;SMB2;138;Tree Disconnect Response
11277;52.668.375.895;10.0.2.4;10.0.2.5;TCP;66;37090  >  445 [ACK] Seq=1013 Ack=1154 Win=64128 Len=0 TSval=71733796 TSecr=206456
11278;52.677.440.692;10.0.2.4;10.0.2.5;SMB2;138;Session Logoff Request
11279;52.677.978.397;10.0.2.5;10.0.2.4;SMB2;138;Session Logoff Response
11280;52.678.009.822;10.0.2.4;10.0.2.5;TCP;66;37090  >  445 [ACK] Seq=1085 Ack=1226 Win=64128 Len=0 TSval=71733806 TSecr=206456
11281;52.685.686.893;10.0.2.4;10.0.2.5;TCP;66;37090  >  445 [RST, ACK] Seq=1085 Ack=1226 Win=64128 Len=0 TSval=71733813 TSecr=206456
11282;52.698.310.369;10.0.2.4;10.0.2.5;TCP;74;37092  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=71733826 TSecr=0 WS=128
11283;52.698.715.343;10.0.2.5;10.0.2.4;TCP;74;445  >  37092 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=206459 TSecr=71733826
11284;52.698.750.334;10.0.2.4;10.0.2.5;TCP;66;37092  >  445 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=71733826 TSecr=206459
11285;52.705.805.712;10.0.2.4;10.0.2.5;SMB;219;Negotiate Protocol Request
11286;52.706.415.675;10.0.2.5;10.0.2.4;SMB;275;Negotiate Protocol Response
11287;52.706.446.638;10.0.2.4;10.0.2.5;TCP;66;37092  >  445 [ACK] Seq=154 Ack=210 Win=64128 Len=0 TSval=71733834 TSecr=206459
11288;52.721.363.645;10.0.2.4;10.0.2.5;SMB;306;Session Setup AndX Request, NTLMSSP_NEGOTIATE
11289;52.721.904.996;10.0.2.5;10.0.2.4;SMB;508;Session Setup AndX Response, NTLMSSP_CHALLENGE, Error: STATUS_MORE_PROCESSING_REQUIRED
11290;52.721.937.766;10.0.2.4;10.0.2.5;TCP;66;37092  >  445 [ACK] Seq=394 Ack=652 Win=64128 Len=0 TSval=71733850 TSecr=206461
11291;52.736.131.871;10.0.2.4;10.0.2.5;SMB;328;Session Setup AndX Request, NTLMSSP_AUTH, User: \\
11292;52.736.973.361;10.0.2.5;10.0.2.4;SMB;262;Session Setup AndX Response
11293;52.737.015.654;10.0.2.4;10.0.2.5;TCP;66;37092  >  445 [ACK] Seq=656 Ack=848 Win=64128 Len=0 TSval=71733865 TSecr=206462
11294;52.747.718.705;10.0.2.4;10.0.2.5;SMB;148;Tree Connect AndX Request, Path: \\\\HETEAM\\IPC$
11295;52.748.203.326;10.0.2.5;10.0.2.4;SMB;126;Tree Connect AndX Response
11296;52.748.227.349;10.0.2.4;10.0.2.5;TCP;66;37092  >  445 [ACK] Seq=738 Ack=908 Win=64128 Len=0 TSval=71733876 TSecr=206464
11297;52.760.367.640;10.0.2.4;10.0.2.5;SMB;105;Tree Disconnect Request
11298;52.760.801.565;10.0.2.5;10.0.2.4;SMB;105;Tree Disconnect Response
11299;52.760.823.304;10.0.2.4;10.0.2.5;TCP;66;37092  >  445 [ACK] Seq=777 Ack=947 Win=64128 Len=0 TSval=71733888 TSecr=206465
11300;52.772.093.907;10.0.2.4;10.0.2.5;SMB;109;Logoff AndX Request
11301;52.772.631.445;10.0.2.5;10.0.2.4;SMB;109;Logoff AndX Response
11302;52.772.658.951;10.0.2.4;10.0.2.5;TCP;66;37092  >  445 [ACK] Seq=820 Ack=990 Win=64128 Len=0 TSval=71733900 TSecr=206466
11303;52.779.047.600;10.0.2.4;10.0.2.5;TCP;66;37092  >  445 [RST, ACK] Seq=820 Ack=990 Win=64128 Len=0 TSval=71733907 TSecr=206466
11304;52.791.208.760;10.0.2.4;10.0.2.5;TCP;74;37094  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=71733919 TSecr=0 WS=128
11305;52.791.602.579;10.0.2.5;10.0.2.4;TCP;74;445  >  37094 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=206468 TSecr=71733919
11306;52.791.637.085;10.0.2.4;10.0.2.5;TCP;66;37094  >  445 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=71733919 TSecr=206468
11307;52.798.200.494;10.0.2.4;10.0.2.5;SMB;241;Negotiate Protocol Request
11308;52.799.123.918;10.0.2.5;10.0.2.4;SMB2;318;Negotiate Protocol Response
11309;52.799.180.427;10.0.2.4;10.0.2.5;TCP;66;37094  >  445 [ACK] Seq=176 Ack=253 Win=64128 Len=0 TSval=71733927 TSecr=206469
11310;52.806.017.550;10.0.2.4;10.0.2.5;TCP;66;37094  >  445 [RST, ACK] Seq=176 Ack=253 Win=64128 Len=0 TSval=71733934 TSecr=206469
11311;52.810.866.145;10.0.2.4;10.0.2.5;TCP;74;51096  >  139 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=71733938 TSecr=0 WS=128
11312;52.811.287.457;10.0.2.5;10.0.2.4;TCP;74;139  >  51096 [SYN, ACK] Seq=0 Ack=1 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=206470 TSecr=71733938
11313;52.811.320.652;10.0.2.4;10.0.2.5;TCP;66;51096  >  139 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=71733939 TSecr=206470
11314;52.819.009.843;10.0.2.4;10.0.2.5;NBSS;138;Session request, to HETEAM<1f> from                <1f>
11315;52.819.410.642;10.0.2.5;10.0.2.4;NBSS;71;Negative session response, Called name not present
11316;52.826.095.572;10.0.2.4;10.0.2.5;TCP;66;51096  >  139 [RST, ACK] Seq=73 Ack=7 Win=64256 Len=0 TSval=71733954 TSecr=206471
11317;52.856.553.062;10.0.2.4;239.255.255.250;SSDP;136;M-SEARCH * HTTP/1.1 
