;No.;Time;Source;Destination;Protocol;Length;Info
79;80;155.414496627;10.0.2.15;10.0.2.5;TCP;74;54708  >  1720 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128
80;81;155.414496697;10.0.2.15;10.0.2.5;TCP;74;42812  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128
81;82;155.414618646;10.0.2.15;10.0.2.5;TCP;74;54196  >  587 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128
82;83;155.41461872600001;10.0.2.15;10.0.2.5;TCP;74;38906  >  25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128
83;84;155.418126707;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 48478  >  1723 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757155 TSecr=0 WS=128
84;85;155.418397775;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 49904  >  993 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757155 TSecr=0 WS=128
85;86;155.418525334;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 54368  >  8080 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757155 TSecr=0 WS=128
86;87;155.418642313;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 58140  >  554 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757155 TSecr=0 WS=128
87;88;155.41875567600002;10.0.2.5;10.0.2.15;TCP;60;1723  >  48478 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
88;89;155.41875581600002;10.0.2.5;10.0.2.15;TCP;60;993  >  49904 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
89;90;155.41882713;10.0.2.5;10.0.2.15;TCP;60;8080  >  54368 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
90;91;155.4188272;10.0.2.5;10.0.2.15;TCP;60;554  >  58140 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
91;92;155.418875691;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 34154  >  139 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757155 TSecr=0 WS=128
92;93;155.419079162;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 54108  >  110 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128
93;94;155.432058049;10.0.2.5;10.0.2.15;TCP;74;139  >  34154 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=725401 TSecr=2552757155 WS=64
94;95;155.43205814;10.0.2.5;10.0.2.15;TCP;60;110  >  54108 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
95;96;155.432405601;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 54708  >  1720 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128
96;97;155.432661099;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 42812  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128
97;98;155.432809577;10.0.2.5;10.0.2.15;TCP;60;1720  >  54708 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
98;99;155.432809668;10.0.2.5;10.0.2.15;TCP;60;443  >  42812 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
99;100;155.432861495;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 54196  >  587 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128
100;101;155.433009692;10.0.2.15;10.0.2.5;TCP;74;[TCP Retransmission] 38906  >  25 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757156 TSecr=0 WS=128
101;102;155.433124445;10.0.2.5;10.0.2.15;TCP;60;587  >  54196 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
102;103;155.43320705;10.0.2.5;10.0.2.15;TCP;74;25  >  38906 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=725402 TSecr=2552757156 WS=64
103;104;155.433317376;10.0.2.5;10.0.2.15;TCP;54;1723  >  48478 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
104;105;155.4335011;10.0.2.5;10.0.2.15;TCP;54;993  >  49904 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
105;106;155.43362794799998;10.0.2.5;10.0.2.15;TCP;54;8080  >  54368 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
106;107;155.433755717;10.0.2.5;10.0.2.15;TCP;54;554  >  58140 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
107;108;155.433946455;10.0.2.5;10.0.2.15;TCP;74;[TCP Out-Of-Order] 139  >  34154 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=725401 TSecr=2552757155 WS=64
108;109;155.433989716;10.0.2.5;10.0.2.15;TCP;54;110  >  54108 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
109;110;155.43405079;10.0.2.15;10.0.2.5;TCP;74;58338  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128
110;111;155.43405087;10.0.2.15;10.0.2.5;TCP;74;45564  >  143 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128
111;112;155.43414294299998;10.0.2.15;10.0.2.5;TCP;66;34154  >  139 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2552757175 TSecr=725401
112;113;155.434143003;10.0.2.15;10.0.2.5;TCP;74;36642  >  256 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128
113;114;155.434224706;10.0.2.15;10.0.2.5;TCP;74;40556  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128
114;115;155.434268989;10.0.2.15;10.0.2.5;TCP;74;55082  >  199 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128
115;116;155.434306569;10.0.2.15;10.0.2.5;TCP;74;57342  >  22 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128
116;117;155.434306629;10.0.2.15;10.0.2.5;TCP;74;40428  >  3389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128
117;118;155.434418679;10.0.2.15;10.0.2.5;TCP;74;46496  >  113 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757175 TSecr=0 WS=128
118;119;155.434496535;10.0.2.15;10.0.2.5;TCP;66;34154  >  139 [RST, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2552757176 TSecr=725401
119;120;155.434588618;10.0.2.15;10.0.2.5;TCP;74;32980  >  5900 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757176 TSecr=0 WS=128
120;121;155.434651696;10.0.2.15;10.0.2.5;TCP;74;46094  >  135 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757176 TSecr=0 WS=128
121;122;155.434719172;10.0.2.15;10.0.2.5;TCP;74;54028  >  8888 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757176 TSecr=0 WS=128
122;123;155.434795285;10.0.2.15;10.0.2.5;TCP;74;44320  >  3306 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757176 TSecr=0 WS=128
123;124;155.437930178;10.0.2.5;10.0.2.15;TCP;54;1720  >  54708 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
124;125;155.438052437;10.0.2.5;10.0.2.15;TCP;54;443  >  42812 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
125;126;155.438177561;10.0.2.5;10.0.2.15;TCP;54;587  >  54196 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
126;127;155.43830514;10.0.2.5;10.0.2.15;TCP;74;[TCP Retransmission] 25  >  38906 [SYN, ACK] Seq=0 Ack=1 Win=5792 Len=0 MSS=1460 SACK_PERM=1 TSval=725402 TSecr=2552757156 WS=64
127;128;155.438389288;10.0.2.15;10.0.2.5;TCP;74;34908  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2552757179 TSecr=0 WS=128
