No.;Time;Source;Destination;Protocol;Length;Info
98;97.983.620.095;10.0.2.7;10.0.2.8;TCP;60;1720  >  59730 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
99;97.983.836.524;10.0.2.8;10.0.2.7;TCP;74;40118  >  587 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160453 TSecr=0 WS=128
100;97.984.604.770;10.0.2.8;10.0.2.7;TCP;74;34830  >  1723 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160454 TSecr=0 WS=128
101;97.985.042.837;10.0.2.8;10.0.2.7;TCP;74;53830  >  34572 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160455 TSecr=0 WS=128
102;97.985.136.423;10.0.2.8;10.0.2.7;TCP;74;46102  >  1062 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160455 TSecr=0 WS=128
103;97.985.391.906;10.0.2.7;10.0.2.8;TCP;60;587  >  40118 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
104;97.985.392.178;10.0.2.7;10.0.2.8;TCP;60;1723  >  34830 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
105;97.985.566.173;10.0.2.8;10.0.2.7;TCP;66;42374  >  445 [RST, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1867160455 TSecr=18000
106;97.985.747.810;10.0.2.7;10.0.2.8;TCP;60;34572  >  53830 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
107;97.985.748.004;10.0.2.7;10.0.2.8;TCP;60;1062  >  46102 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
108;97.985.889.372;10.0.2.8;10.0.2.7;TCP;66;37296  >  21 [RST, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1867160456 TSecr=18000
109;97.985.962.854;10.0.2.8;10.0.2.7;TCP;66;33940  >  22 [RST, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1867160456 TSecr=18000
110;97.986.023.923;10.0.2.8;10.0.2.7;TCP;66;35324  >  23 [RST, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1867160456 TSecr=18001
111;97.986.397.618;10.0.2.8;10.0.2.7;TCP;66;58902  >  111 [RST, ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1867160456 TSecr=18001
112;97.986.869.048;10.0.2.8;10.0.2.7;TCP;74;56244  >  800 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160456 TSecr=0 WS=128
113;97.987.187.972;10.0.2.8;10.0.2.7;TCP;74;38010  >  1718 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160457 TSecr=0 WS=128
114;97.987.573.884;10.0.2.7;10.0.2.8;TCP;60;800  >  56244 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
115;97.987.574.173;10.0.2.7;10.0.2.8;TCP;60;1718  >  38010 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
116;97.988.052.277;10.0.2.8;10.0.2.7;TCP;74;58110  >  2557 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160458 TSecr=0 WS=128
117;97.988.167.862;10.0.2.8;10.0.2.7;TCP;74;56174  >  898 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160458 TSecr=0 WS=128
118;97.988.477.213;10.0.2.8;10.0.2.7;TCP;74;56144  >  7103 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160458 TSecr=0 WS=128
119;97.988.575.280;10.0.2.8;10.0.2.7;TCP;74;54304  >  801 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160458 TSecr=0 WS=128
120;97.991.384.231;10.0.2.7;10.0.2.8;TCP;60;2557  >  58110 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
121;97.991.384.439;10.0.2.7;10.0.2.8;TCP;60;898  >  56174 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
122;97.991.703.965;10.0.2.8;10.0.2.7;TCP;74;40132  >  5500 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160461 TSecr=0 WS=128
123;97.991.774.434;10.0.2.7;10.0.2.8;TCP;60;7103  >  56144 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
124;97.991.774.668;10.0.2.7;10.0.2.8;TCP;60;801  >  54304 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
125;97.991.926.888;10.0.2.8;10.0.2.7;TCP;74;39428  >  32 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160462 TSecr=0 WS=128
126;97.992.024.672;10.0.2.8;10.0.2.7;TCP;74;47732  >  15004 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160462 TSecr=0 WS=128
127;97.992.413.601;10.0.2.7;10.0.2.8;TCP;60;5500  >  40132 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
128;97.992.413.814;10.0.2.7;10.0.2.8;TCP;60;32  >  39428 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
129;97.992.647.354;10.0.2.8;10.0.2.7;TCP;74;40028  >  7937 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160462 TSecr=0 WS=128
130;97.993.010.835;10.0.2.7;10.0.2.8;TCP;60;15004  >  47732 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
131;97.993.170.349;10.0.2.8;10.0.2.7;TCP;74;38202  >  7000 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160463 TSecr=0 WS=128
132;97.993.259.251;10.0.2.8;10.0.2.7;TCP;74;53876  >  843 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160463 TSecr=0 WS=128
133;97.993.560.303;10.0.2.7;10.0.2.8;TCP;60;7937  >  40028 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
134;97.993.709.638;10.0.2.8;10.0.2.7;TCP;74;56596  >  11111 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160463 TSecr=0 WS=128
135;97.993.801.803;10.0.2.8;10.0.2.7;TCP;74;42528  >  9878 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160463 TSecr=0 WS=128
136;97.994.078.387;10.0.2.7;10.0.2.8;TCP;60;7000  >  38202 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
137;97.994.078.671;10.0.2.7;10.0.2.8;TCP;60;843  >  53876 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
138;97.994.252.303;10.0.2.8;10.0.2.7;TCP;74;45164  >  5989 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160464 TSecr=0 WS=128
139;97.994.342.084;10.0.2.8;10.0.2.7;TCP;74;40584  >  4004 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160464 TSecr=0 WS=128
140;97.994.569.375;10.0.2.7;10.0.2.8;TCP;60;11111  >  56596 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
141;97.994.569.633;10.0.2.7;10.0.2.8;TCP;60;9878  >  42528 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0
142;97.994.913.854;10.0.2.8;10.0.2.7;TCP;74;41396  >  1048 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1867160465 TSecr=0 WS=128
